step,agent_daily_return,agent_cumulative_return,benchmark_daily_return,benchmark_cumulative_return,portfolio_return,transaction_penality,weight_MSFT,weight_GOOG,weight_AMZN,weight_BRK-B,weight_WMT,weight_COST,weight_JPM,weight_V,weight_LLY,weight_PG,weight_GLD,weight_AAPL,weight_UNH,weight_XOM,weight_CVX,weight_UNP,weight_CAT,weight_LIN,weight_NEE,weight_AMT,weight_DBC
74,0.010457213132672772,0.1270725495076026,0.00311510444423,0.09496165913330445,0.010457213132672772,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
75,0.0005176632678045564,0.12765599356663349,-0.0008947502354844703,0.09398194193094844,0.0005176632678045564,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
76,0.011139766995988532,0.14021781858659566,0.01441436042342831,0.10975099193866322,0.011139766995988532,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
77,-0.006758374631083262,0.13251179940755087,-0.012446217929865841,0.09593878924510979,-0.006758374631083262,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
78,-0.009552418852947903,0.12169357234370426,-0.0050717055878092485,0.09038051036379846,-0.009492418852947904,5.9999999999999995e-05,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0
79,0.007453614444175422,0.13005424375646402,0.0030261575204355838,0.09368017354537228,0.007453614444175422,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0
80,-0.0031721812480718656,0.12646950687511582,-0.0027167304257285085,0.09070893934188562,-0.0031721812480718656,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0
81,-0.000692568356148718,0.12568934974048762,7.241999060775008e-05,0.09078792847302841,-0.000692568356148718,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0
82,0.0030677607888251203,0.1291426953880197,-6.061841292405115e-05,0.09072180663996776,0.0030677607888251203,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0
83,0.004399222026200911,0.13411004480429445,0.002609367462688615,0.09356790063305898,0.004399222026200911,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0
84,-0.0018979679044905267,0.13195754033909557,0.000495632531070518,0.09410990845954714,-0.0018979679044905267,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0
85,0.014096734531273341,0.1479144452859289,0.013273250110962571,0.10863230292341286,0.014096734531273341,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0
86,0.003459751251511006,0.1518859437246345,0.003987284253082564,0.11305273504731805,0.003459751251511006,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0
